accx,accy,accz,gyrox,gyro y,gyro z,accanglex,accangley,gyroanglex,gyroangley,gyroanglez,angle x,angle y,angle z
-0.09,-1,-0.11,1.5,-8.62,2.5,-91.33,5.92,51.45,262.23,2441.67,-78.38,-15.87,2441.67
-0.1,-1.01,-0.12,1.48,-6.09,4.79,-91.64,6.2,51.59,261.63,2442.14,-78.5,-16.02,2442.14
-0.1,-1,-0.14,3.96,-2.5,-2.78,-92.36,6.52,51.99,261.38,2441.86,-78.38,-15.81,2441.86
-0.1,-0.99,-0.13,5.76,-2.5,-1.85,-91.66,6.64,52.57,261.13,2441.67,-78.08,-15.61,2441.67
-0.1,-0.99,-0.12,2.58,-5.75,2.94,-90.82,6.84,52.83,260.54,2441.98,-78.08,-15.74,2441.98
-0.08,-0.99,-0.13,4.64,-3.25,3.28,-92.94,5.57,53.29,260.22,2442.3,-77.93,-15.62,2442.3
-0.11,-0.99,-0.14,0.46,-6.35,4.3,-91.86,7.25,53.34,259.58,2442.73,-78.16,-15.79,2442.73
-0.09,-1.02,-0.13,5.1,-3.77,-4.87,-92.28,5.86,53.85,259.21,2442.24,-77.94,-15.73,2442.24
-0.09,-1,-0.12,2.89,-5.99,1.48,-91.41,6.09,54.14,258.6,2442.39,-77.93,-15.88,2442.39
-0.11,-1.01,-0.12,2.29,-3.74,0.24,-90.93,6.79,54.37,258.23,2442.42,-77.97,-15.79,2442.42
-0.11,-0.98,-0.15,-0.21,-15.89,3.07,-92.07,7.64,54.35,256.63,2442.73,-78.27,-16.9,2442.73
-0.1,-1,-0.13,-3.1,-8.44,6.36,-91.59,6.48,54.03,255.77,2443.37,-78.84,-17.26,2443.37
-0.1,-1,-0.15,1.15,-6.35,4.42,-92.55,6.93,54.15,255.13,2443.81,-79,-17.41,2443.81
-0.11,-0.99,-0.13,1.1,-4.28,4.13,-90.92,7.65,54.26,254.71,2444.23,-79.13,-17.33,2444.23
-0.1,-1,-0.13,3.35,-1.86,1.16,-92,6.55,54.59,254.52,2444.34,-79.06,-17.03,2444.34
-0.09,-1.01,-0.13,3.35,-3.83,3.94,-92.33,6.04,54.92,254.14,2444.73,-79,-16.94,2444.73
-0.1,-1,-0.15,-0.75,-9.66,1.36,-92.86,6.48,54.85,253.16,2444.87,-79.35,-17.43,2444.87
-0.1,-1,-0.15,4.63,-7.08,-1.77,-92.5,6.81,55.31,252.46,2444.69,-79.16,-17.64,2444.69
-0.1,-1,-0.12,6.03,-6.59,1,-91.23,6.43,55.92,251.79,2444.79,-78.81,-17.81,2444.79
-0.11,-0.99,-0.12,9.62,6.01,8.32,-90.94,7.09,56.88,252.39,2445.63,-78.11,-16.72,2445.63
-0.13,-1,-0.13,-5.23,-7.8,13.49,-89.89,8.67,56.37,251.62,2446.96,-78.85,-16.97,2446.96
-0.17,-0.97,-0.17,-6.79,-0.47,8.84,-90.22,11.64,55.67,251.57,2447.86,-79.76,-16.44,2447.86
-0.1,-1,-0.12,14.12,5.43,-19.29,-90.72,6.6,57.11,252.13,2445.9,-78.56,-15.44,2445.9
-0.1,-1.01,-0.12,3.1,-2.94,-6.2,-91.47,6.4,57.43,251.83,2445.27,-78.51,-15.3,2445.27
-0.12,-0.98,-0.1,3.07,-3.99,-0.89,-89.13,7.81,57.74,251.43,2445.18,-78.42,-15.23,2445.18
-0.1,-1,-0.13,-3.1,-8.44,6.36,-91.59,6.48,54.03,255.77,2443.37,-78.84,-17.26,2443.37
-0.1,-1,-0.15,1.15,-6.35,4.42,-92.55,6.93,54.15,255.13,2443.81,-79,-17.41,2443.81
-0.11,-0.99,-0.13,1.1,-4.28,4.13,-90.92,7.65,54.26,254.71,2444.23,-79.13,-17.33,2444.23
-0.1,-1,-0.13,3.35,-1.86,1.16,-92,6.55,54.59,254.52,2444.34,-79.06,-17.03,2444.34
-0.09,-1.01,-0.13,3.35,-3.83,3.94,-92.33,6.04,54.92,254.14,2444.73,-79,-16.94,2444.73
-0.1,-1,-0.15,-0.75,-9.66,1.36,-92.86,6.48,54.85,253.16,2444.87,-79.35,-17.43,2444.87
-0.1,-1,-0.15,4.63,-7.08,-1.77,-92.5,6.81,55.31,252.46,2444.69,-79.16,-17.64,2444.69
-0.1,-1,-0.12,6.03,-6.59,1,-91.23,6.43,55.92,251.79,2444.79,-78.81,-17.81,2444.79
-0.11,-0.99,-0.12,9.62,6.01,8.32,-90.94,7.09,56.88,252.39,2445.63,-78.11,-16.72,2445.63
-0.13,-1,-0.13,-5.23,-7.8,13.49,-89.89,8.67,56.37,251.62,2446.96,-78.85,-16.97,2446.96
-0.17,-0.97,-0.17,-6.79,-0.47,8.84,-90.22,11.64,55.67,251.57,2447.86,-79.76,-16.44,2447.86
-0.1,-1,-0.12,14.12,5.43,-19.29,-90.72,6.6,57.11,252.13,2445.9,-78.56,-15.44,2445.9
-0.1,-1.01,-0.12,3.1,-2.94,-6.2,-91.47,6.4,57.43,251.83,2445.27,-78.51,-15.3,2445.27
-0.12,-0.98,-0.1,3.07,-3.99,-0.89,-89.13,7.81,57.74,251.43,2445.18,-78.42,-15.23,2445.18
-0.09,-1,-0.12,-0.15,-6.38,1.66,-91.34,6.09,57.72,250.79,2445.35,-78.7,-15.43,2445.35
-0.12,-0.99,-0.13,-1.65,-8.62,3.86,-90.54,7.74,57.56,249.93,2445.73,-79.09,-15.81,2445.73
-0.12,-0.99,-0.14,0.43,-3.81,2.5,-90.92,8.12,57.6,249.54,2445.98,-79.29,-15.71,2445.98
-0.12,-1.01,-0.14,0.74,-1.61,-0.57,-91.16,7.98,57.67,249.38,2445.93,-79.45,-15.39,2445.93
-0.11,-1.01,-0.11,-1.6,1.18,-1.62,-89.99,6.75,57.51,249.5,2445.76,-79.82,-14.83,2445.76
-0.12,-0.98,-0.12,3.56,-6.19,0.32,-90.18,7.83,57.87,248.87,2445.8,-79.68,-14.99,2445.8
-0.13,-0.99,-0.15,0.78,-5.46,3.86,-91.14,9.06,57.95,248.33,2446.18,-79.83,-15.04,2446.18
-0.12,-0.99,-0.13,-0.1,-4.56,7.9,-90.52,8.18,57.94,247.87,2446.97,-80.05,-15.03,2446.97
-0.11,-0.99,-0.14,2.98,-6.51,4.27,-91.54,7.69,58.24,247.21,2447.4,-79.99,-15.22,2447.4
-0.12,-1,-0.13,-1.02,-7.46,4.68,-90.15,8.11,58.14,246.48,2447.87,-80.29,-15.47,2447.87
-0.11,-0.99,-0.14,2.55,-4.88,1.74,-91.7,7.71,58.56,245.72,2448.01,-80.29,-15.27,2448.01
-0.11,-1,-0.14,2.64,-7.34,-0.08,-91.84,7.18,58.82,244.99,2448,-80.26,-15.54,2448
-0.12,-0.99,-0.13,3.04,-4.61,0.94,-90.24,8.08,59.13,244.52,2448.09,-80.16,-15.52,2448.09
-0.1,-1,-0.14,0.11,-5.75,2.58,-91.95,6.79,59.14,243.95,2448.35,-80.39,-15.64,2448.35
-0.12,-1,-0.14,1.19,-5.31,0.53,-91.31,8.12,59.26,243.42,2448.4,-80.49,-15.68,2448.4
-0.11,-0.99,-0.14,3.97,-4.94,-4.66,-91.45,7.41,59.66,242.92,2447.93,-80.32,-15.7,2447.93
-0.13,-0.99,-0.11,5.53,-2.3,0.56,-88.86,8.56,60.21,242.69,2447.99,-79.95,-15.44,2447.99
-0.11,-1.01,-0.15,1.22,-3.77,2.12,-92.06,7.53,60.33,242.31,2448.2,-80.07,-15.35,2448.2
-0.11,-1,-0.15,3.28,-4.42,-2.95,-92.32,7.14,60.66,241.87,2447.91,-79.99,-15.34,2447.91
-0.12,-0.97,-0.15,6.69,-4.53,0.99,-91.69,8.12,61.34,241.41,2448.01,-79.56,-15.32,2448.01
-0.12,-1,-0.13,1.35,-4.42,3.23,-90.67,7.87,61.47,240.98,2448.33,-79.65,-15.28,2448.33
-0.14,-0.98,-0.14,1.79,-5.57,2.26,-89.9,9.27,61.65,240.41,2448.55,-79.68,-15.34,2448.55
-0.12,-1,-0.15,2.48,-4.76,2.16,-91.54,8.17,61.9,239.94,2448.77,-79.68,-15.33,2448.77
-0.13,-0.99,-0.15,1.24,-4.41,3.8,-90.88,8.95,62.02,239.5,2449.15,-79.78,-15.28,2449.15
-0.12,-0.99,-0.14,4.89,-3.51,1.31,-91.15,8.02,62.51,239.15,2449.28,-79.53,-15.16,2449.28
-0.12,-0.99,-0.14,4.86,-4.91,-1.27,-91.3,8.03,62.99,238.66,2449.15,-79.29,-15.17,2449.15
-0.11,-1,-0.14,-0.09,-7.83,1.1,-91.37,7.33,62.98,237.88,2449.26,-79.54,-15.49,2449.26
-0.13,-1,-0.14,0.49,-7.12,1.87,-90.62,8.88,63.03,237.15,2449.45,-79.71,-15.72,2449.45
-0.13,-0.99,-0.14,3.47,-5.02,-2.32,-90.61,8.94,63.38,236.65,2449.22,-79.59,-15.71,2449.22
-0.12,-0.98,-0.11,3.04,-5.46,1.6,-89.84,7.77,63.69,236.1,2449.39,-79.49,-15.79,2449.39
-0.11,-1,-0.15,2.95,-7.23,1.32,-91.94,7.46,63.98,235.38,2449.52,-79.46,-16.02,2449.52
-0.11,-0.99,-0.14,3.18,-6.47,2.88,-91.24,7.54,64.3,234.73,2449.8,-79.38,-16.18,2449.8
-0.12,-0.98,-0.14,3.56,-7.05,1.22,-90.95,8.48,64.65,234.03,2449.93,-79.26,-16.38,2449.93
-0.12,-0.99,-0.12,1.51,-4.57,2.44,-89.93,7.89,64.81,233.57,2450.17,-79.33,-16.35,2450.17
-0.12,-1,-0.14,2.63,-6.62,1.86,-90.95,8.12,65.07,232.92,2450.35,-79.31,-16.5,2450.35
-0.12,-0.99,-0.15,1.12,-8.97,0.26,-91.32,8.26,65.18,232.01,2450.38,-79.44,-16.89,2450.38
-0.14,-0.99,-0.14,2.61,-6.36,1.77,-89.99,9.11,65.44,231.38,2450.56,-79.39,-16.99,2450.56
-0.12,-0.99,-0.14,3.3,-5.67,3.07,-91.06,8.17,65.77,230.81,2450.86,-79.3,-17.04,2450.86
-0.11,-1,-0.12,2.45,-5.96,2.47,-91.05,6.85,66.01,230.22,2451.11,-79.3,-17.15,2451.11
-0.14,-0.99,-0.15,2.87,-5.87,3.92,-90.78,9.3,66.3,229.63,2451.5,-79.25,-17.19,2451.5
-0.12,-1,-0.15,4.28,-3.28,-1.33,-91.54,8.1,66.72,229.31,2451.37,-79.08,-17.01,2451.37
-0.12,-0.99,-0.13,2.69,-3.66,2.33,-90.47,8.03,67,228.93,2451.61,-79.04,-16.87,2451.61
-0.12,-1,-0.14,0.84,-6.48,1.22,-91.18,7.84,67.08,228.29,2451.73,-79.2,-17.01,2451.73
-0.11,-0.99,-0.14,0.99,-7.6,1.39,-91.51,7.66,67.18,227.53,2451.87,-79.35,-17.26,2451.87
-0.12,-0.99,-0.13,3.47,-5.2,2.06,-90.37,8.24,67.53,227.01,2452.07,-79.23,-17.26,2452.07
-0.12,-0.99,-0.13,2.96,-5.08,1.22,-91.04,7.73,67.82,226.5,2452.19,-79.17,-17.26,2452.19
-0.13,-0.99,-0.15,1.01,-6.54,2.55,-91,8.64,67.92,225.85,2452.45,-79.31,-17.37,2452.45
-0.13,-0.99,-0.14,5.12,-2.96,0.3,-90.42,8.78,68.44,225.56,2452.48,-79.03,-17.14,2452.48
-0.12,-1,-0.14,2.29,-6.19,0.85,-90.88,8.25,68.67,224.94,2452.56,-79.04,-17.23,2452.56
-0.13,-0.99,-0.14,2.83,-5.46,2.71,-90.38,8.92,68.95,224.4,2452.83,-78.99,-17.25,2452.83
-0.12,-0.98,-0.13,1.16,-7.2,2.73,-90.45,8.15,69.07,223.68,2453.11,-79.11,-17.44,2453.11
-0.14,-0.99,-0.15,2.6,-4.38,1.52,-90.99,9.22,69.33,223.24,2453.26,-79.09,-17.34,2453.26
-0.11,-0.99,-0.14,4.08,-2.42,2.44,-91.39,7.6,69.73,223,2453.5,-78.94,-17.08,2453.5
-0.14,-0.99,-0.14,0.77,-7.6,6.12,-90.44,9.13,69.81,222.23,2454.12,-79.09,-17.3,2454.12
-0.14,-0.99,-0.15,5.15,-3.55,1.78,-90.79,9.5,70.32,221.88,2454.29,-78.83,-17.11,2454.29
-0.12,-1,-0.15,4.98,-3.03,1.23,-91.96,8.06,70.81,221.58,2454.42,-78.6,-16.91,2454.42
-0.1,-0.99,-0.13,1.73,-6.8,2.39,-91.56,6.93,70.99,220.9,2454.66,-78.69,-17.1,2454.66
-0.13,-1,-0.15,1.19,-7.46,4.47,-90.98,8.79,71.11,220.15,2455.1,-78.82,-17.31,2455.1
-0.13,-1,-0.16,4.58,-5.43,1.52,-91.71,9.13,71.56,219.61,2455.25,-78.64,-17.31,2455.25
-0.13,-0.98,-0.15,3.68,-3.78,-2.77,-91.22,8.84,71.93,219.23,2454.97,-78.52,-17.16,2454.97
-0.12,-1,-0.14,4.64,-4.25,-1.26,-91.5,7.67,73.91,217.43,2455.06,-77.6,-16.88,2455.06
-0.1,-1,-0.13,3.71,-6.53,4.41,-91.49,6.62,74.28,216.77,2455.51,-77.51,-17.06,2455.51
-0.14,-0.99,-0.15,-3.75,-9,9.9,-90.49,9.77,73.91,215.87,2456.5,-78.14,-17.4,2456.5
-0.15,-0.99,-0.14,-0.58,-7.49,6.67,-89.69,9.7,73.85,215.12,2457.16,-78.43,-17.6,2457.16
-0.14,-0.99,-0.15,1.85,-7.84,-1.64,-90.61,9.78,74.04,214.32,2457,-78.48,-17.83,2457
-0.13,-0.98,-0.13,4.03,-5.48,0.44,-89.96,9.03,74.44,213.77,2457.04,-78.32,-17.83,2457.04
-0.12,-1,-0.14,1.8,-6.79,-0.58,-90.67,8.19,74.62,213.09,2456.98,-78.39,-17.98,2456.98
-0.13,-0.99,-0.14,2.55,-5.64,0.23,-90.3,8.82,74.88,212.52,2457,-78.37,-18,2457
-0.12,-0.99,-0.14,2.43,-7.84,0.48,-91.62,7.75,75.12,211.74,2457.05,-78.4,-18.25,2457.05
-0.13,-1,-0.14,3.88,-4.12,1.77,-90.18,8.83,75.51,211.33,2457.23,-78.26,-18.11,2457.23
-0.11,-1,-0.14,-0.7,-8.27,6.61,-91.84,7.22,75.44,210.5,2457.9,-78.6,-18.42,2457.9
-0.14,-0.98,-0.15,-0.39,-7.17,3.65,-90.41,9.8,75.4,209.78,2458.26,-78.88,-18.56,2458.26
-0.14,-0.99,-0.15,3.41,-3.92,3.75,-90.63,9.68,75.74,209.38,2458.64,-78.77,-18.38,2458.64
-0.13,-0.99,-0.15,1.54,-5.63,2.56,-91.37,8.81,75.9,208.82,2458.9,-78.88,-18.39,2458.9
-0.13,-0.99,-0.14,2.92,-6.96,3.45,-90.4,9.01,76.19,208.13,2459.24,-78.82,-18.53,2459.24
-0.13,-1,-0.13,3.94,-4.9,1.4,-90.41,8.25,76.58,207.64,2459.38,-78.67,-18.47,2459.38
-0.14,-0.99,-0.15,3.83,-5.06,0.35,-90.52,9.22,76.97,207.13,2459.41,-78.53,-18.41,2459.41
-0.12,-1,-0.14,-0.27,-8.35,4.67,-91.11,7.59,76.94,206.3,2459.88,-78.8,-18.7,2459.88
-0.14,-0.99,-0.13,0.17,-6.73,8.04,-89.66,9.08,76.96,205.62,2460.69,-79,-18.81,2460.69
-0.14,-0.99,-0.15,0.57,-5,7.07,-90.13,9.78,77.01,205.12,2461.39,-79.17,-18.73,2461.39
-0.13,-0.99,-0.15,3.18,-3.22,3.02,-90.99,8.65,77.33,204.8,2461.7,-79.1,-18.5,2461.7
-0.14,-0.99,-0.13,0.77,-4.97,2.85,-89.63,9.23,77.41,204.3,2461.98,-79.23,-18.43,2461.98
-0.14,-0.99,-0.14,0.93,-6.97,4.56,-90.47,9.1,77.5,203.61,2462.44,-79.37,-18.56,2462.44
-0.14,-0.99,-0.15,1.06,-4.64,3.48,-90.23,9.63,77.61,203.15,2462.78,-79.48,-18.45,2462.78
-0.14,-0.99,-0.16,0.66,-5.87,1.75,-91.61,9.3,77.67,202.56,2462.96,-79.66,-18.48,2462.96
-0.15,-0.98,-0.14,2.75,-5.25,1.98,-89.23,10.39,77.94,202.04,2463.16,-79.58,-18.41,2463.16
-0.14,-0.98,-0.15,4.43,-4.61,1.86,-90.36,9.71,78.39,201.57,2463.34,-79.36,-18.3,2463.34
-0.13,-0.98,-0.14,2.93,-5.75,1.31,-90.3,8.87,78.69,201,2463.47,-79.29,-18.32,2463.47
-0.13,-0.99,-0.15,3.7,-4.87,-0.83,-90.96,8.96,81.39,196.09,2464.7,-78.74,-18.2,2464.7
-0.16,-0.98,-0.13,2.03,-2.56,0.16,-88.38,10.79,81.59,195.84,2464.72,-78.74,-17.87,2464.72
-0.14,-0.99,-0.15,0.92,-4.79,-5.56,-90.37,9.31,81.68,195.36,2464.16,-78.88,-17.8,2464.16
-0.11,-1,-0.14,2.09,-7.84,1.83,-91.62,7.47,81.89,194.57,2464.35,-78.93,-18.07,2464.35
-0.12,-0.98,-0.13,3.44,-7.81,3.57,-90.63,7.99,82.23,193.79,2464.7,-78.83,-18.31,2464.7
-0.13,-1,-0.14,0.51,-9.29,5.58,-90.41,8.81,82.28,192.87,2465.25,-79.01,-18.67,2465.25
-0.16,-0.99,-0.16,2.22,-7.09,6.73,-89.97,10.87,82.51,192.16,2465.92,-79.01,-18.77,2465.92
-0.16,-0.97,-0.15,3.59,-4.22,2.06,-89.86,10.78,82.86,191.74,2466.13,-78.88,-18.59,2466.13
-0.15,-0.98,-0.14,3.09,-2.93,2.39,-89.26,10.43,83.18,191.44,2466.37,-78.78,-18.3,2466.37
-0.13,-0.99,-0.14,2.92,-2.8,4.29,-90.44,8.7,83.47,191.16,2466.8,-78.73,-18.04,2466.8
-0.13,-0.99,-0.15,0.75,-6.42,7.42,-90.86,8.91,83.54,190.53,2467.54,-78.9,-18.12,2467.54
-0.15,-0.98,-0.16,3.36,-5.16,2.94,-90.65,10.36,83.88,190.01,2467.83,-78.8,-18.06,2467.83
-0.13,-0.98,-0.15,3.32,-4.22,-2.8,-90.8,9.18,84.21,189.59,2467.55,-78.72,-17.93,2467.55
-0.11,-1,-0.14,2.25,-5.41,2.59,-91.78,7.37,84.44,189.04,2467.81,-78.76,-17.96,2467.81
-0.11,-0.97,-0.13,-0.9,-5.69,3.66,-91.02,7.69,84.35,188.47,2468.18,-79.09,-18,2468.18
-0.1,-1.01,-0.18,-8.1,-6.77,-19.64,-94.9,6.72,83.53,187.79,2466.19,-80.21,-18.18,2466.19
-0.14,-0.95,-0.2,-11.57,-5.23,-49.01,-93.79,10.24,82.35,187.26,2461.19,-81.64,-18.13,2461.19
-0.05,-0.99,-0.11,-32.18,-0.19,-21.77,-93.8,3.2,78.94,187.24,2458.89,-85.22,-17.73,2458.89
0.03,-1.08,-0.1,16.92,8.63,14.64,-93.61,-1.93,80.68,188.13,2460.39,-83.68,-16.54,2460.39
-0.05,-0.97,-0.2,26.57,-45.05,52.78,-98.63,4.09,83.39,183.53,2465.78,-81.33,-20.63,2465.78
-0.07,-0.95,-0.07,62.98,17.13,-52.95,-89.68,4.83,89.81,185.28,2460.38,-75.2,-18.41,2460.38
-0.07,-1.01,-0.06,-10.78,23.3,-23.76,-89.79,3.95,88.69,187.7,2457.91,-76.59,-15.58,2457.91
-0.06,-1.01,-0.1,21.68,2.78,-18.43,-92.21,3.98,90.93,187.99,2456.01,-74.71,-14.91,2456.01
-0.03,-1.06,-0.11,17.56,-32.59,18.26,-94.27,1.6,92.7,184.7,2457.85,-73.36,-17.81,2457.85
-0.07,-1.02,-0.09,17.8,-47.98,38.42,-91.15,4.13,94.53,179.76,2461.81,-71.92,-22.21,2461.81
-0.08,-1.02,-0.11,-6.73,33.01,23.6,-91.44,5.18,93.85,183.12,2464.22,-72.99,-18.36,2464.22
-0.05,-0.85,0.04,-15.4,-176.93,75.98,-83.9,2.99,92.26,164.9,2472.04,-74.76,-35.8,2472.04
-0.12,-0.99,-0.15,-6.01,34.25,-23.18,-91.71,8.18,91.64,168.43,2469.65,-75.71,-31.46,2469.65
-0.09,-1.03,-0.07,-4.27,34.68,-18.13,-88.7,5.5,91.2,172,2467.79,-76.4,-27.22,2467.79
-0.34,-1.06,0,15.13,4.74,84.52,-72.21,17.96,90.08,151.5,2494.97,-77.72,-44.14,2494.97
-0.38,-0.85,-0.16,19.87,-17.35,30.9,-75.63,28.41,92.08,149.74,2498.09,-75.71,-44.41,2498.09
-0.41,-0.93,0.03,-35.92,-3.98,-16,-64.72,23.25,88.35,149.33,2496.43,-79.15,-43.46,2496.43
-0.39,-1.02,0.08,8.16,17.9,-61.19,-64.97,19.57,89.19,151.17,2490.13,-78.04,-40.4,2490.13
0.1,-1.29,0.18,-30.27,-161.05,-36.35,-77.8,-3.99,86.1,134.75,2486.42,-81.06,-55.77,2486.42
-0.33,-0.88,-0.05,98.26,-1.9,62.12,-72.44,21.94,96.42,134.55,2492.94,-70.78,-54.41,2492.94
-0.29,-1.19,0.11,48.6,87.65,12,-71.03,12.7,101.42,143.57,2494.17,-65.88,-44.22,2494.17
-0.57,-0.87,0.03,112.17,-409.72,-22.89,-55.58,32.43,112.98,101.37,2491.82,-54.35,-84.04,2491.82
-0.16,-1.12,-0.07,-42.39,62.89,4.61,-85.46,8.35,108.44,108.1,2492.31,-59.42,-75.6,2492.31
-0.15,-0.93,0,17.88,46.07,-5.16,-81.01,9.01,110.28,112.85,2491.78,-58.05,-69.26,2491.78
-0.2,-1.09,0.02,91.88,-30.7,11.57,-78.61,10.14,119.65,109.72,2492.96,-49.27,-70.74,2492.96
-0.26,-0.95,0.1,23.01,31.06,-5.65,-69.22,13.68,122.05,112.95,2492.37,-47.33,-65.88,2492.37
-0.16,-0.86,0.15,31.41,2.63,34.47,-69.85,9.09,125.28,113.22,2495.92,-44.61,-64.12,2495.92
-0.18,-1.08,0.05,-3.08,-13.43,1.61,-78.13,8.91,124.97,111.86,2496.08,-45.58,-63.99,2496.08
-0.12,-0.97,0.1,-1.16,-19.98,-17.32,-76.98,6.65,124.85,109.82,2494.32,-46.33,-64.57,2494.32
-0.23,-0.97,0.09,6.29,-2.07,15.54,-71.7,12.16,125.5,109.61,2495.92,-46.2,-63.25,2495.92
-0.2,-1,0.1,7.01,21.17,25.98,-73.31,10.18,126.22,111.79,2498.59,-46.03,-59.64,2498.59
-0.2,-0.99,0.07,10.7,-5.43,5.66,-75.05,10.62,127.3,111.24,2499.17,-45.55,-58.77,2499.17
-0.23,-0.98,0.09,42.58,-14.07,-32.13,-71.86,12.29,131.69,109.79,2495.86,-41.78,-58.77,2495.86
-0.23,-1.03,0.14,-0.75,8.07,9.25,-70.53,11.07,131.61,110.63,2496.82,-42.43,-56.55,2496.82
