accx,accy,accz,gyro x,gyro y,gyro z,acc angle x,acc angle y,gyro angle x,gyro angle y,gyro angle z,angle x,angle y,angle z,out
0.64,0.69,-0.3,1.82,-2.39,-0.04,63.65,-59.09,-1.56,65.7,32.91,59.73,-61.9,32.91,1
0.66,0.69,-0.29,-3.45,-2.66,-2.2,61.78,-59.05,-1.88,65.45,32.71,59.45,-62.08,32.71,1
0.67,0.68,-0.31,1.95,2.57,-1.08,62.46,-61.28,-1.7,65.69,32.61,59.69,-61.83,32.61,1
0.65,0.68,-0.31,0.84,1.09,0.54,63.26,-60.22,-1.62,65.8,32.66,59.84,-61.7,32.66,1
0.65,0.69,-0.32,-0.47,0.28,1.39,64.05,-60.85,-1.67,65.82,32.78,59.88,-61.66,32.78,1
0.66,0.7,-0.29,-1.04,-2.22,0.67,62.25,-57.46,-1.76,65.62,32.85,59.84,-61.77,32.85,1
0.65,0.68,-0.29,-0.28,-1.73,-0.3,62.67,-58.7,-1.79,65.46,32.82,59.87,-61.87,32.82,1
0.65,0.68,-0.29,2.15,0.22,0.78,61.81,-58.59,-1.58,65.48,32.89,60.1,-61.78,32.89,1
0.66,0.68,-0.32,0.41,0.3,1.1,63.3,-61.06,-1.55,65.51,32.99,60.21,-61.74,32.99,1
0.66,0.68,-0.3,0.3,1.26,3.64,62.59,-60.17,-1.52,65.62,33.32,60.28,-61.6,33.32,1
0.65,0.68,-0.29,2.33,-2.07,-0.41,62.31,-58.99,-1.31,65.43,33.29,60.53,-61.73,33.29,1
0.63,0.66,-0.28,-0.93,-0.08,0.99,62.4,-58.72,-1.39,65.42,33.38,60.48,-61.68,33.38,1
0.65,0.69,-0.31,2.07,-0.01,1.13,63.76,-59.41,-1.2,65.42,33.49,60.74,-61.63,33.49,1
0.67,0.66,-0.3,-4.02,6.13,4.2,60.11,-62.08,-1.58,65.99,33.88,60.36,-61.08,33.88,1
0.68,0.69,-0.28,1.59,-3.64,-1.88,60.12,-59.22,-1.43,65.66,33.7,60.5,-61.37,33.7,1
0.68,0.67,-0.28,-3.18,-0.65,-0.06,59.23,-59.74,-1.72,65.6,33.7,60.18,-61.4,33.7,1
0.68,0.67,-0.28,-1.13,-6.65,-3.13,59.27,-60,-1.83,64.97,33.4,60.06,-61.99,33.4,1
0.69,0.66,-0.28,1.17,3.86,-2.55,58.39,-60.98,-1.72,65.34,33.16,60.13,-61.61,33.16,1
0.69,0.68,-0.28,-1.27,5.28,2.12,58.78,-59.73,-1.84,65.83,33.36,59.99,-61.09,33.36,1
0.68,0.69,-0.27,1.33,5.38,1.27,59.15,-58.7,-1.72,66.33,33.48,60.09,-60.55,33.48,1
0.66,0.68,-0.31,0.29,1.84,0.15,63.16,-61.01,-1.69,66.49,33.49,60.18,-60.4,33.49,1
0.63,0.72,-0.26,-1.27,-0.97,0.41,63.12,-53.92,-1.8,66.41,33.53,60.13,-60.36,33.53,1
0.62,0.69,-0.28,1.17,-5.46,-2.09,63.85,-56.63,-1.69,65.89,33.33,60.31,-60.78,33.33,1
0.66,0.72,-0.26,-4.11,1.02,0.81,60.98,-55.13,-2.08,65.99,33.41,59.94,-60.58,33.41,1
0.7,0.67,-0.31,0.46,-0.4,-1.48,60.1,-62.53,-2.04,65.95,33.27,59.99,-60.65,33.27,1
0.67,0.68,-0.29,0.69,1,0.31,60.85,-59.75,-1.88,66.13,34.07,60.26,-60.36,34.07,1
0.67,0.66,-0.3,-0.83,2.13,-0.93,60.76,-61.41,-1.95,66.33,33.98,60.19,-60.19,33.98,1
0.65,0.68,-0.28,0.14,-1.88,1.28,61.69,-58.45,-1.94,66.15,34.1,60.24,-60.33,34.1,1
0.65,0.67,-0.28,-0.12,-2.71,0.29,61.1,-58.91,-1.95,65.9,34.13,60.24,-60.54,34.13,1
0.64,0.67,-0.29,1.82,-1.35,0.32,62.36,-59.37,-1.78,65.77,34.16,60.45,-60.65,34.16,1
0.65,0.69,-0.28,0.03,0.76,0.37,62.16,-57.51,-1.78,65.84,34.19,60.49,-60.51,34.19,1
0.65,0.68,-0.3,0.07,-2.4,-0.15,62.92,-59.93,-1.77,65.62,34.18,60.54,-60.72,34.18,1
0.68,0.67,-0.31,-1.24,5.75,0.03,61.1,-61.52,-1.89,66.16,34.18,60.44,-60.21,34.18,1
0.66,0.69,-0.3,-3.25,2.41,-0.44,62.3,-59.76,-2.19,66.38,34.14,60.18,-59.98,34.14,1
0.71,0.67,-0.29,-1.74,4.82,-1.89,57.73,-61.72,-2.35,66.84,33.97,59.97,-59.57,33.97,1
0.71,0.66,-0.31,-0.98,-0.33,-1.22,58.58,-63.81,-2.44,66.81,33.85,59.86,-59.68,33.85,1
0.66,0.69,-0.29,-0.87,0.02,-1.52,61.44,-58.59,-2.53,66.81,33.71,59.81,-59.66,33.71,1
0.67,0.69,-0.3,-2.7,-1.69,-0.43,62.35,-60.11,-2.78,66.65,33.67,59.61,-59.82,33.67,1
0.68,0.68,-0.27,1.05,-1.2,-1.36,58.59,-58.64,-2.68,66.54,33.54,59.69,-59.91,33.54,1
0.69,0.69,-0.29,0.27,1.31,0.14,59.99,-59.75,-2.65,66.66,33.55,59.72,-59.79,33.55,1
0.67,0.7,-0.3,-0.03,-0.8,1.71,62.01,-59.33,-2.65,66.59,33.71,59.76,-59.85,33.71,1
0.67,0.69,-0.29,-0.41,1.03,0.15,61.01,-59.54,-2.69,66.68,33.72,59.75,-59.75,33.72,1
0.64,0.66,-0.3,0.73,-1.17,-1.11,62.94,-60.13,-2.63,66.58,33.62,59.88,-59.86,33.62,1
0.64,0.7,-0.29,-1.19,-6.57,-0.52,63.55,-57.58,-2.74,65.96,33.57,59.84,-60.42,33.57,1
0.65,0.66,-0.29,0.61,-7.09,-3.07,61.46,-60.29,-2.68,65.29,33.28,59.93,-61.07,33.28,1
0.66,0.68,-0.31,0.76,-6.92,-2.07,62.57,-60.31,-2.61,64.65,33.09,60.05,-61.69,33.09,1
0.65,0.68,-0.31,0.36,-2.2,0.86,63.58,-60.5,-2.58,64.44,33.17,60.16,-61.87,33.17,1
0.67,0.69,-0.28,0.4,1.12,1.83,61.16,-58.39,-2.54,64.55,33.34,60.21,-61.7,33.34,1
0.67,0.68,-0.3,1.8,2.97,3.27,61.47,-60.31,-2.37,64.82,33.64,60.4,-61.4,33.64,1
0.69,0.7,-0.26,2.32,2.77,1.77,58.3,-57.64,-2.16,65.07,33.8,60.57,-61.08,33.8,1
0.65,0.68,-0.32,1.92,2.99,0.44,63.91,-60.84,-1.99,65.34,33.84,60.8,-60.81,33.84,1
0.66,0.68,-0.31,0.76,-6.92,-2.07,62.57,-60.31,-2.61,64.65,33.09,60.05,-61.69,33.09,1
0.65,0.68,-0.31,0.36,-2.2,0.86,63.58,-60.5,-2.58,64.44,33.17,60.16,-61.87,33.17,1
0.67,0.69,-0.28,0.4,1.12,1.83,61.16,-58.39,-2.54,64.55,33.34,60.21,-61.7,33.34,1
0.67,0.68,-0.3,1.8,2.97,3.27,61.47,-60.31,-2.37,64.82,33.64,60.4,-61.4,33.64,1
0.69,0.7,-0.26,2.32,2.77,1.77,58.3,-57.64,-2.16,65.07,33.8,60.57,-61.08,33.8,1
0.65,0.68,-0.32,1.92,2.99,0.44,63.91,-60.84,-1.99,65.34,33.84,60.8,-60.81,33.84,1
0.66,0.7,-0.27,-0.55,-1.52,1.53,60.99,-56.53,-2.04,65.2,33.98,60.76,-60.86,33.98,1
0.64,0.7,-0.28,0.82,-0.92,-1.25,62.39,-56.39,-1.96,65.12,33.86,60.87,-60.85,33.86,1
0.65,0.69,-0.3,-1.3,-0.36,0.69,62.65,-58.98,-2.08,65.09,33.93,60.78,-60.85,33.93,1
0.68,0.7,-0.29,-1.35,0.09,1.35,60.77,-58.65,-2.21,65.09,34.06,60.66,-60.79,34.06,1
0.66,0.67,-0.32,0.09,0.89,1.57,63.34,-61.4,-2.2,65.18,34.2,60.72,-60.73,34.2,1
0.67,0.69,-0.29,-2.47,-0.6,-0.23,61.21,-59.47,-2.43,65.12,34.18,60.51,-60.75,34.18,1
0.68,0.69,-0.3,2.81,-0.25,1.67,61.36,-60.22,-2.16,65.1,34.34,60.79,-60.77,34.34,1
0.65,0.69,-0.29,-0.26,-1.69,1.48,62.75,-58.77,-2.19,64.94,34.47,60.8,-60.88,34.47,1
0.62,0.69,-0.29,1.07,-1.17,2.23,64.02,-57.55,-2.09,64.83,34.68,60.96,-60.92,34.68,1
0.64,0.69,-0.3,-2.41,-1.18,-1.89,63.34,-58.63,-2.31,64.72,34.51,60.79,-60.98,34.51,1
0.66,0.69,-0.29,-0.15,-5.01,-2.52,61.6,-58.82,-2.33,64.25,34.27,60.79,-61.41,34.27,1
0.68,0.68,-0.31,-1.01,-3.27,-2.14,61.35,-61.4,-2.42,63.94,34.07,60.71,-61.71,34.07,1
0.65,0.69,-0.32,-4.2,-3.33,-1.65,64.53,-60.43,-2.82,63.63,33.91,60.4,-61.99,33.91,1
0.6,0.69,-0.28,1.04,-2.45,1.79,64.8,-55.24,-2.72,63.39,34.08,60.59,-62.08,34.08,1
0.69,0.7,-0.22,1.69,-1.82,-6.35,56.02,-55.37,-2.56,63.22,33.49,60.65,-62.11,33.49,1
0.63,0.68,-0.26,0.09,4.25,-3.2,60.93,-56.27,-2.55,63.62,33.19,60.66,-61.6,33.19,1
0.62,0.69,-0.34,4.87,2.36,-0.29,67.95,-60.3,-2.1,63.84,33.16,61.25,-61.37,33.16,1
0.66,0.67,-0.3,-2.22,-0.33,0.7,61.53,-60.31,-2.31,63.81,33.23,61.05,-61.37,33.23,1
0.65,0.71,-0.34,2.26,-4.72,-3.17,66.73,-60.58,-2.1,63.37,32.93,61.37,-61.79,32.93,1
0.66,0.68,-0.31,-2.81,1.78,1.27,62.46,-61.06,-2.36,63.53,33.05,61.14,-61.61,33.05,1
0.66,0.71,-0.31,2.33,0.19,-0.93,64.39,-58.81,-2.14,63.55,32.96,61.41,-61.54,32.96,1
0.67,0.69,-0.32,-3.09,0.62,1.97,62.78,-61.55,-2.43,63.61,33.15,61.16,-61.48,33.15,1
0.68,0.7,-0.31,0.96,0.31,0.69,62.36,-60.45,-2.34,63.64,33.21,61.27,-61.44,33.21,1
0.66,0.69,-0.31,-1.77,0.93,1.79,62.97,-60,-2.5,63.72,33.37,61.15,-61.32,33.37,1
0.66,0.67,-0.31,0.82,3.6,0.52,62.69,-61.34,-2.43,64.05,33.42,61.25,-61,33.42,1
0.67,0.68,-0.29,0.06,0.48,0.29,61,-59.93,-2.42,64.1,33.45,61.25,-60.93,33.45,1
0.69,0.69,-0.35,0.75,-1.41,-1.05,63.13,-63.89,-2.35,63.97,33.35,61.36,-61.12,33.35,1
0.68,0.68,-0.3,-3.83,3.03,2.58,60.69,-60.33,-2.71,64.25,33.59,60.99,-60.83,33.59,1
0.66,0.7,-0.3,3.54,8.1,4.52,62.55,-59.11,-2.38,65.01,34.01,61.35,-60.05,34.01,1
0.66,0.68,-0.31,2.61,5.87,1.76,63.23,-60.64,-2.14,65.54,34.17,61.62,-59.54,34.17,1
0.63,0.68,-0.3,0.41,-0.42,0.26,64.21,-58.67,-2.1,65.5,34.2,61.71,-59.56,34.2,1
0.64,0.69,-0.31,-1.5,2.33,0.61,64.11,-59.16,-2.24,65.72,34.25,61.62,-59.34,34.25,1
0.68,0.68,-0.31,0.7,8.54,-2.24,61.57,-61.32,-2.18,66.51,34.04,61.68,-58.6,34.04,1
0.7,0.67,-0.34,-3.56,-0.28,1.27,61.33,-64.7,-2.51,66.49,34.16,61.35,-58.75,34.16,1
0.68,0.67,-0.31,-0.51,2.54,1.19,61.06,-62.02,-2.55,66.72,34.27,61.3,-58.59,34.27,1
0.68,0.68,-0.3,-3.12,-1.14,-0.18,61.05,-60.98,-2.84,66.62,34.26,61.01,-58.74,34.26,1
0.68,0.65,-0.29,-3.39,-2.95,-2.7,59.58,-61.94,-3.16,66.34,34,60.67,-59.07,34,1
0.69,0.66,-0.31,-1.19,2.79,-1.33,59.71,-62.71,-3.27,66.6,33.88,60.54,-58.89,33.88,1
0.68,0.68,-0.29,0.95,3.7,-0.78,60.26,-60.45,-3.18,66.95,33.8,60.62,-58.58,33.8,1
0.66,0.69,-0.29,-1.91,1.48,0.4,61.63,-58.63,-3.36,67.09,33.84,60.47,-58.44,33.84,1
0.65,0.68,-0.3,-0.18,-0.22,-0.56,62.85,-59.5,-3.38,67.07,33.79,60.5,-58.48,33.79,1
0.64,0.7,-0.29,1.57,2.91,2.26,63.24,-57.49,-3.23,67.34,34,60.7,-58.2,34,1
0.65,0.69,-0.28,-1.05,5.58,2.78,61.92,-57.22,-3.33,67.86,34.26,60.63,-57.67,34.26,1
0.69,0.7,-0.27,-0.32,0.51,-0.04,58.78,-57.87,-3.36,67.9,34.25,60.57,-57.63,34.25,1
0.7,0.68,-0.31,-1.5,-2.45,-0.46,60.78,-62.01,-3.5,67.68,34.21,60.43,-57.94,34.21,1
0.72,0.68,-0.31,-3.09,-1.58,-1.92,58.4,-62.63,-3.79,67.53,34.03,60.11,-58.18,34.03,1
0.71,0.69,-0.3,-0.25,1.9,0.14,59.27,-61.17,-3.81,67.71,34.04,60.07,-58.07,34.04,1
0.7,0.68,-0.28,-0.61,5.15,2.66,58.5,-60.42,-3.87,68.18,34.29,59.98,-57.65,34.29,1
0.69,0.7,-0.29,2.12,2.76,1.48,60.13,-59.4,-3.67,68.44,34.43,60.18,-57.43,34.43,1
0.66,0.69,-0.29,1.19,2.91,2.31,61.67,-59.51,-3.56,68.7,34.64,60.32,-57.21,34.64,1
0.67,0.68,-0.29,2.65,1.54,1.93,60.7,-59.33,-3.32,68.84,34.81,60.56,-57.12,34.81,1
0.68,0.69,-0.28,0.9,0.83,-0.64,60.02,-58.75,-3.23,68.92,34.75,60.63,-57.07,34.75,1
0.65,0.68,-0.32,-1.96,-0.4,-1.16,63.76,-61.04,-3.41,68.88,34.65,60.52,-57.19,34.65,1
0.67,0.69,-0.27,-0.23,-1.56,-1.78,59.98,-57.86,-3.44,68.74,34.48,60.49,-57.35,34.48,1
0.65,0.68,-0.31,-1.91,-1.59,-0.49,63.62,-60.48,-3.62,68.58,34.43,60.37,-57.56,34.43,1
0.72,0.68,-0.28,-0.35,2.18,0.77,56.97,-60.92,-3.65,68.79,34.5,60.27,-57.43,34.5,1
0.7,0.68,-0.29,-1.67,-2.91,-0.62,59.27,-60.77,-3.8,68.52,34.45,60.1,-57.75,34.45,1
0.67,0.69,-0.3,1.49,0.59,2.63,61.59,-60.12,-3.66,68.58,34.69,60.27,-57.75,34.69,1
0.66,0.66,-0.29,-1.33,0.28,2.78,60.84,-60.29,-3.79,68.6,34.95,60.16,-57.77,34.95,1
0.66,0.71,-0.28,0.76,-0.37,0.75,61.48,-56.92,-3.71,68.57,35.02,60.25,-57.79,35.02,1
0.65,0.67,-0.29,-0.8,4.89,1.73,61.12,-59.86,-3.79,69.02,35.18,60.2,-57.39,35.18,1
0.63,0.69,-0.24,1.8,-1.49,-0.2,60.76,-54.84,-3.62,68.88,35.16,60.38,-57.47,35.16,1
0.62,0.67,-0.28,-1.62,-4.43,-1.39,63.53,-57.33,-3.77,68.47,35.03,60.29,-57.88,35.03,1
0.64,0.66,-0.29,-0.06,-2.86,-2.1,62.09,-59.77,-3.78,68.2,34.83,60.32,-58.18,34.83,1
0.65,0.68,-0.27,-0.8,-3.85,0.46,60.72,-57.52,-3.85,67.83,34.87,60.25,-58.53,34.87,1
0.72,0.66,-0.31,-3.74,2.09,-0.32,57.73,-63.85,-4.91,66.18,33.86,59.3,-60.26,33.86,1
0.66,0.67,-0.3,4.59,-1.36,-0.41,61.67,-61.17,-4.48,66.05,33.82,59.77,-60.4,33.82,1
0.67,0.67,-0.3,-1.7,7.29,2.84,61.59,-61.44,-4.64,66.73,34.08,59.65,-59.76,34.08,1
0.67,0.66,-0.31,2.23,2.5,1.94,61.58,-62.52,-4.43,66.96,34.26,59.89,-59.59,34.26,1
0.64,0.68,-0.29,0.01,-2.37,1.35,62.88,-58.9,-4.43,66.74,34.39,59.95,-59.79,34.39,1
0.62,0.68,-0.29,-1.35,-6.6,-1.22,63.9,-58.11,-4.56,66.14,34.28,59.91,-60.35,34.28,1
0.64,0.67,-0.28,-0.89,-4.45,-2.59,61.91,-58.35,-4.64,65.72,34.03,59.87,-60.72,34.03,1
0.63,0.68,-0.28,0.21,-3.35,-0.78,62.55,-57.99,-4.62,65.4,33.96,59.94,-60.97,33.96,1
0.68,0.68,-0.28,1.65,-1.56,-0.38,59.44,-59.8,-4.46,65.26,33.92,60.08,-61.09,33.92,1
0.71,0.67,-0.29,0.2,1.29,-0.59,57.97,-62.1,-4.45,65.38,33.87,60.06,-60.99,33.87,1
0.71,0.64,-0.29,1.98,3.35,-0.82,56.57,-63.85,-4.26,65.69,33.79,60.17,-60.75,33.79,1
0.69,0.67,-0.26,-0.26,-1.53,-1.57,57.67,-59.59,-4.28,65.55,33.65,60.1,-60.86,33.65,1
0.65,0.66,-0.31,-1.6,-5.14,-2.98,62.98,-61.83,-4.44,65.07,33.37,60.01,-61.35,33.37,1
0.69,0.68,-0.28,-5.24,0.09,-1.16,58.28,-59.89,-4.93,65.07,33.26,59.49,-61.32,33.26,1
0.68,0.66,-0.28,1.63,-5.93,-2.47,58.6,-60.6,-4.78,64.52,33.02,59.62,-61.85,33.02,1
0.69,0.67,-0.31,-2.22,0.13,0.48,60.32,-62.27,-4.99,64.53,33.07,59.43,-61.84,33.07,1
0.69,0.67,-0.3,0.32,-2.52,-0.03,59.41,-61.84,-4.96,64.3,33.07,59.46,-62.07,33.07,1
0.69,0.69,-0.28,-0.93,-0.59,0.86,59.81,-59.21,-5.05,64.24,33.15,59.38,-62.07,33.15,1
0.72,0.69,-0.28,0.56,-0.86,-1.69,57.44,-60.6,-4.99,64.16,32.99,59.39,-62.12,32.99,1
0.7,0.68,-0.27,1.25,1.86,0.98,57.83,-60.13,-4.88,64.34,33.08,59.47,-61.91,33.08,1
0.67,0.68,-0.31,-0.41,8.1,1.09,61.87,-60.64,-4.92,65.09,33.18,59.48,-61.14,33.18,1
0.7,0.67,-0.29,-1.21,6.39,1.38,58.89,-61.48,-5.03,65.68,33.31,59.36,-60.57,33.31,1
0.67,0.68,-0.29,0.56,-2.65,1.97,60.49,-59.97,-4.97,65.43,33.49,59.44,-60.8,33.49,1
0.65,0.68,-0.29,-1.24,-3.88,0.84,62.02,-58.88,-5.09,65.07,33.57,59.37,-61.12,33.57,1
0.68,0.66,-0.27,0.84,-5.49,-0.41,58.53,-59.91,-5.01,64.56,33.53,59.43,-61.59,33.53,1
0.67,0.68,-0.29,-1.93,-3.75,-0.75,60.75,-59.74,-5.19,64.21,33.46,59.28,-61.9,33.46,1
0.7,0.69,-0.26,-0.73,-3.76,-1.6,57.5,-58.84,-5.26,63.85,33.31,59.18,-62.19,33.31,1
0.69,0.68,-0.27,0.3,1.93,2.55,58.18,-59.96,-5.39,63.69,33.36,58.97,-62.26,33.36,1
0.67,0.67,-0.28,-1.05,0.94,-0.56,59.49,-59.76,-5.49,63.78,33.31,58.89,-62.13,33.31,1
0.69,0.67,-0.28,-0.14,-2.4,-0.26,58.61,-60.82,-5.5,63.55,33.29,58.87,-62.32,33.29,1
0.7,0.67,-0.29,0.41,-1.33,-2.09,58.52,-61.81,-5.46,63.43,33.09,58.9,-62.43,33.09,1
0.71,0.66,-0.31,-3.59,-0.88,-1.43,58.57,-63.56,-5.79,63.35,32.96,58.57,-62.53,32.96,1
0.72,0.68,-0.28,-1.54,-4.14,-1.63,57.25,-60.85,-5.94,62.95,32.8,58.4,-62.89,32.8,1
0.72,0.66,-0.29,-0.29,3.8,-0.41,56.87,-63,-5.97,63.31,32.76,58.34,-62.54,32.76,1
0.69,0.67,-0.28,1.72,4.8,0.86,58.35,-60.21,-5.81,63.75,32.84,58.5,-62.06,32.84,1
0.68,0.66,-0.3,-0.32,2.65,0.86,60.58,-62.27,-5.84,63.99,32.92,58.51,-61.83,32.92,1
0.68,0.68,-0.3,-0.44,3.23,0.44,60.87,-60.99,-5.88,64.29,32.96,58.52,-61.52,32.96,1
0.69,0.68,-0.28,0.32,0.16,-0.06,59.37,-59.69,-5.85,64.31,32.96,58.56,-61.47,32.96,1
0.65,0.7,-0.27,1.66,-1.14,2.28,60.91,-56.62,-5.7,64.2,33.17,58.76,-61.47,33.17,1
0.65,0.69,-0.28,2.03,-0.63,1.9,61.45,-57.77,-5.51,64.14,33.34,59,-61.46,33.34,1
0.67,0.67,-0.29,1.01,1.73,0.05,60.74,-60.45,-5.42,64.3,33.35,59.12,-61.28,33.35,1
0.67,0.69,-0.28,-1.33,5.12,0.26,60.81,-58.46,-5.54,64.77,33.37,59.04,-60.77,33.37,1
0.67,0.68,-0.29,0.27,-2.81,0,61.09,-59.73,-5.51,64.51,33.37,59.1,-61,33.37,1
0.65,0.68,-0.28,-0.83,-1.75,0.2,61.8,-58.64,-5.59,64.35,33.39,59.08,-61.11,33.39,1
0.65,0.69,-0.29,0.23,-1.26,-0.3,61.83,-58.48,-5.57,64.23,33.36,59.16,-61.18,33.36,1
0.7,0.68,-0.28,-0.93,1.31,-1.57,58.36,-60.49,-5.65,64.35,33.22,59.06,-61.04,33.22,1
0.68,0.69,-0.29,-0.09,-3.01,-0.36,60.48,-59.42,-5.66,64.07,33.18,59.08,-61.29,33.18,1
0.68,0.67,-0.29,-0.11,-2.72,-1.63,59.78,-60.59,-5.67,63.81,33.03,59.08,-61.52,33.03,1
0.68,0.68,-0.29,0.01,-3.82,-1.28,59.95,-60.12,-5.67,63.45,32.91,59.1,-61.85,32.91,1
0.7,0.68,-0.28,-0.76,-0.66,0.95,58.07,-60.1,-5.74,63.39,33,59.01,-61.87,33,1
0.67,0.66,-0.28,2.15,1.49,1.8,59.62,-60.64,-5.54,63.53,33.16,59.22,-61.71,33.16,1
0.65,0.65,-0.28,1.57,1.66,1.24,60.48,-59.82,-5.4,63.68,33.28,59.38,-61.53,33.28,1
0.66,0.7,-0.26,0.72,-4.65,0.22,60.25,-56.32,-5.33,63.25,33.3,59.47,-61.84,33.3,1
0.67,0.68,-0.29,0.14,-7.24,-0.24,60.46,-59.7,-5.32,62.58,33.27,59.5,-62.45,33.27,1
0.74,0.66,-0.31,1.6,3.02,-0.91,56.28,-64.64,-5.17,62.87,33.19,59.58,-62.22,33.19,1
0.72,0.66,-0.29,1.77,-0.81,1.28,57.32,-62.7,-4.97,61.28,33.39,59.66,-63.53,33.39,1
0.7,0.65,-0.27,1.69,7.02,2.34,56.8,-61.86,-4.81,61.93,33.61,59.76,-62.87,33.61,1
0.66,0.67,-0.27,1.1,5.66,1.94,59.24,-58.82,-4.71,62.45,33.79,59.85,-62.28,33.79,1
0.65,0.66,-0.28,-0.05,1.23,-0.17,60.19,-59.53,-4.71,62.56,33.77,59.85,-62.11,33.77,1
0.68,0.68,-0.26,-0.57,-4.05,-1.85,58.19,-58.58,-4.77,62.19,33.6,59.76,-62.41,33.6,1
0.69,0.68,-0.31,-1.83,-5.91,-2.36,60.48,-61.97,-4.94,61.62,33.38,59.61,-62.95,33.38,1
0.69,0.68,-0.27,-0.84,-5.27,-1.92,58.42,-59.58,-5.02,61.12,33.19,59.51,-63.38,33.19,1
0.68,0.67,-0.29,-1.7,-7.38,-3.2,59.86,-60.48,-5.18,60.42,32.89,59.35,-64.01,32.89,1
