accX,accY,accZ,gyroX,gyroY,gyroZ,accangleX,accAngleY,gyroangleX,gyroAngleY,gyroAngleZ,angleX,angleY,angleZ
-0.45,0.14,-0.9,-0.97,-0.01,5.56,162.84,149.44,485.41,-101.76,110.65,166.87,128.32,110.65
-0.49,0.11,-0.85,4.5,25.93,6.97,162.82,146.53,485.87,-99.11,111.36,167.23,131.28,111.36
-0.43,0.14,-0.89,-3.17,-17.75,-7.21,162.97,150.03,485.55,-100.89,110.64,166.84,129.91,110.64
-0.48,0.12,-0.89,-1,-8.22,6.45,163.41,148.1,485.45,-101.73,111.31,166.67,129.45,111.31
-0.46,0.14,-0.88,-2.28,-9.35,-1.29,161.73,148.13,485.21,-102.7,111.17,166.34,128.88,111.17
-0.45,0.12,-0.89,-0.39,-4.79,0.72,164.38,149.82,485.17,-103.18,111.25,166.26,128.82,111.25
-0.48,0.15,-0.9,0.15,-2.59,-2.24,160.97,147.61,485.19,-103.45,111.02,166.17,128.93,111.02
-0.45,0.12,-0.86,1.89,-0.48,-0.71,163.56,148.68,485.38,-103.5,110.95,166.31,129.28,110.95
-0.46,0.12,-0.89,-0.43,-3.37,-2.36,164.71,149.02,485.33,-103.84,110.71,166.23,129.34,110.71
-0.46,0.13,-0.89,0.42,-5.11,-3.31,162.98,148.58,485.38,-104.37,110.37,166.21,129.21,110.37
-0.46,0.14,-0.89,0.33,-4.98,1.88,162.12,148.32,485.41,-104.88,110.56,166.16,129.09,110.56
-0.46,0.13,-0.89,1.53,-1.29,-2.18,163.48,148.97,485.56,-105,110.34,166.26,129.36,110.34
-0.46,0.13,-0.88,1.14,2.77,-0.67,161.88,147.93,485.68,-104.72,110.27,166.28,130.01,110.27
-0.47,0.1,-0.83,-4.88,-3.55,-1.83,163.67,146.9,485.19,-105.08,110.09,165.75,130,110.09
-0.44,0.14,-0.9,-1.69,10.44,4.97,163.25,149.92,485.02,-104,110.6,165.53,131.45,110.6
-0.45,0.14,-0.89,-5.03,-5.56,-6.22,162.32,148.9,484.51,-104.57,109.97,164.97,131.25,109.97
-0.44,0.12,-0.89,-2.85,-9.92,5.38,164.92,150.34,484.22,-105.58,110.52,164.68,130.64,110.52
-0.44,0.16,-0.9,-3.09,-3.14,0.75,160.54,149.14,483.9,-105.9,110.59,164.29,130.69,110.59
-0.42,0.12,-0.88,-0.57,2.79,-0.01,164.67,150.67,483.84,-105.62,110.59,164.24,131.37,110.59
-0.46,0.13,-0.89,-3,-11.21,-4.86,163.21,149.05,483.53,-106.78,110.09,163.91,130.59,110.09
-0.46,0.14,-0.9,3.18,-9.87,-3.86,162.59,149.07,483.86,-107.79,109.69,164.21,129.96,109.69
-0.47,0.12,-0.88,1.47,-7.41,0.83,163.08,148.11,484.01,-108.55,109.78,164.33,129.58,109.78
-0.47,0.14,-0.9,1.18,-2.92,-3.79,162.46,148.54,484.13,-108.84,109.4,164.41,129.67,109.4
-0.48,0.12,-0.9,-2.97,-8.53,0.24,163.7,148.5,482.97,-114.91,106.1,162.79,131.42,106.1
-0.47,0.15,-0.86,-3.98,-8.8,-1.43,158.46,146.08,482.57,-115.8,105.96,162.31,130.84,105.96
-0.49,0.14,-0.89,-0.42,-7.67,2.14,160.32,146.79,482.52,-116.59,106.18,162.23,130.38,106.18
-0.47,0.15,-0.88,-0.63,-0.76,1.37,160.07,147.46,482.46,-116.67,106.32,162.12,130.65,106.32
-0.45,0.15,-0.87,-2.6,-7.11,1.35,160.28,148.18,482.19,-117.4,106.46,161.82,130.28,106.46
-0.46,0.16,-0.89,-1.12,-6.07,0.28,159.66,147.86,482.08,-118.01,106.49,161.67,130.03,106.49
-0.46,0.14,-0.88,-1.27,-6.95,-1.2,162.13,148.32,481.95,-118.72,106.36,161.55,129.7,106.36
-0.47,0.14,-0.88,-0.43,-2.07,-4.24,160.92,147.59,481.9,-118.94,105.93,161.49,129.85,105.93
-0.46,0.15,-0.89,-0.88,-0.33,-1.79,160.7,147.95,481.81,-118.97,105.74,161.39,130.18,105.74
-0.49,0.15,-0.9,1.43,-0.85,-3.76,160.18,146.77,481.96,-119.06,105.36,161.51,130.42,105.36
-0.47,0.16,-0.86,1.52,-1.43,-2.12,158.34,146.55,482.12,-119.2,105.14,161.6,130.6,105.14
-0.48,0.15,-0.89,1.47,-1.47,-0.01,160.56,147.35,482.26,-119.35,105.14,161.72,130.79,105.14
-0.45,0.15,-0.88,-1.56,-4.85,-0.83,160.78,148.2,482.1,-119.85,105.05,161.54,130.65,105.05
-0.48,0.15,-0.89,1.47,-4.36,-0.27,160.29,147.36,482.25,-120.3,105.03,161.67,130.55,105.03
-0.47,0.15,-0.88,-0.13,-0.16,-2.3,160.07,147.51,482.24,-120.31,104.79,161.62,130.87,104.79
-0.48,0.15,-0.88,0.7,0.27,-2.22,159.48,146.6,482.31,-120.28,104.56,161.65,131.22,104.56
-0.48,0.14,-0.86,1.99,0.45,-2.62,159.33,146.27,482.51,-120.24,104.3,161.8,131.56,104.3
-0.46,0.15,-0.86,0.83,-3.26,2.3,159.46,147.1,482.6,-120.57,104.53,161.83,131.55,104.53
-0.45,0.13,-0.88,-1.88,-7.11,2.97,162.86,148.88,482.41,-121.28,104.83,161.67,131.2,104.83
-0.45,0.14,-0.88,-1.34,-4.27,0.82,161.88,148.55,482.27,-121.72,104.91,161.54,131.12,104.91
-0.48,0.16,-0.89,0.31,-3.7,-1.35,158.91,146.56,482.3,-122.1,104.78,161.52,131.06,104.78
-0.47,0.15,-0.88,-0.69,-5,2.17,159.58,147.18,482.23,-122.61,105,161.41,130.88,105
-0.47,0.15,-0.86,-0.71,-3.14,1.76,159.49,146.93,482.16,-122.93,105.18,161.3,130.89,105.18
-0.46,0.15,-0.89,1.61,-2.18,-2.3,160.2,147.95,482.32,-123.15,104.94,161.44,131.01,104.94
-0.48,0.16,-0.88,-0.37,-1.27,-0.82,157.77,146.07,482.29,-123.28,104.86,161.33,131.18,104.86
-0.48,0.16,-0.89,-0.25,-3.49,2.08,158.84,146.57,482.26,-123.64,105.08,161.26,131.14,105.08
-0.46,0.15,-0.88,-1.73,0.47,1.04,160.5,147.69,482.09,-123.59,105.18,161.07,131.51,105.18
-0.46,0.14,-0.88,-0.69,-2.56,0.37,160.74,147.6,482.02,-123.85,105.22,160.99,131.58,105.22
-0.49,0.15,-0.87,2.45,-0.4,-5.02,159.11,146.1,481.9,-124.66,104.56,160.8,131.38,104.56
-0.46,0.14,-0.87,0.71,-8.57,-0.12,160.61,147.54,481.98,-125.53,104.55,160.87,130.85,104.55
-0.46,0.16,-0.89,-0.17,-12.69,-0.48,159.68,147.63,481.96,-126.81,104.5,160.83,129.93,104.5
-0.46,0.14,-0.88,-0.74,-3.18,-0.22,161.26,147.93,481.88,-127.15,104.47,160.76,129.96,104.47
-0.47,0.15,-0.88,1.52,-4.1,-3,159.73,147.1,482.04,-127.57,104.17,160.89,129.89,104.17
-0.49,0.16,-0.88,0.71,-4.76,-3.6,157.64,145.87,482.11,-128.05,103.8,160.9,129.73,103.8
-0.49,0.15,-0.89,0.15,-3.12,2.59,159,146.51,482.12,-128.37,104.06,160.87,129.76,104.06
-0.46,0.15,-0.89,-0.51,-2.18,1.44,160.85,147.87,482.07,-128.59,104.21,160.82,129.91,104.21
-0.47,0.15,-0.87,0.45,-2.39,-1.57,159.56,146.87,482.12,-128.83,104.05,160.84,130.01,104.05
-0.47,0.16,-0.89,0.39,-4.82,-3.35,158.81,147.01,482.16,-129.33,103.71,160.84,129.86,103.71
-0.48,0.16,-0.9,-0.19,1.35,1.79,159.04,146.84,482.14,-129.19,103.89,160.78,130.34,103.89
-0.47,0.16,-0.86,-2.76,0.74,1.62,157.7,145.88,481.86,-129.11,104.05,160.45,130.72,104.05
-0.48,0.16,-0.9,-0.28,-3.44,-2.05,159.44,147.17,481.83,-129.46,103.85,160.4,130.71,103.85
-0.48,0.15,-0.86,-0.51,-16.08,-3.7,157.89,145.84,481.78,-131.11,103.47,160.3,129.39,103.47
-0.51,0.15,-0.91,2.36,-7.14,1.7,159.88,146.39,482.02,-131.86,103.64,160.53,129,103.64
-0.5,0.15,-0.85,1.52,3.7,-4.77,156.32,144.32,482.17,-131.49,103.17,160.59,129.67,103.17
-0.45,0.15,-0.89,0.25,-4.33,0.68,160.74,148.37,482.2,-131.92,103.24,160.62,129.62,103.24
-0.45,0.13,-0.85,-0.71,-0.39,4.34,161.61,147.65,482.13,-131.96,103.67,160.57,129.94,103.67
-0.45,0.16,-0.89,1.52,-0.56,-2.65,159.96,148.33,482.28,-132.02,103.4,160.71,130.25,103.4
-0.49,0.16,-0.87,0.85,-0.43,-2.41,157.6,145.61,482.37,-132.06,103.16,160.73,130.52,103.16
-0.43,0.15,-0.85,-5.44,-0.42,11.46,160.84,148.45,481.81,-132.11,104.33,160.19,130.83,104.33
-0.48,0.15,-0.9,-2.24,-13.43,5.43,159.88,147.18,481.58,-133.49,104.88,159.96,129.81,104.88
-0.4,0.16,-0.87,-1.11,1.2,10.36,161.57,150.76,481.47,-133.37,105.95,159.88,130.35,105.95
-0.43,0.16,-0.88,1.87,-1.32,1.32,160.04,148.87,481.66,-133.5,106.08,160.07,130.59,106.08
-0.48,0.16,-0.88,0.92,-4.98,-1.54,158.33,146.56,481.29,-137.38,106.08,159.57,129.77,106.08
-0.47,0.16,-0.87,1.96,-3.38,-4.63,158.7,146.59,481.49,-137.72,105.61,159.75,129.78,105.61
-0.48,0.16,-0.87,-0.08,-3.84,-0.73,157.61,145.8,481.48,-138.12,105.54,159.7,129.71,105.54
-0.47,0.15,-0.88,1.03,-3.84,-0.47,159.59,147.25,481.59,-138.51,105.49,159.8,129.68,105.49
-0.46,0.15,-0.87,1.64,-0.89,-1.69,159.65,147.34,481.75,-138.6,105.32,159.96,129.94,105.32
-0.48,0.16,-0.88,1.05,-1.44,-1.14,158.49,146.31,481.86,-138.75,105.2,160.03,130.12,105.2
-0.48,0.16,-0.87,-1.15,-7,0.51,158.27,146.26,481.75,-139.46,105.26,159.88,129.75,105.26
-0.48,0.16,-0.89,-0.77,-5.89,0.02,158.71,146.63,481.67,-140.06,105.26,159.78,129.5,105.26
-0.49,0.16,-0.86,0.36,-3.56,-0.79,156.81,145.34,481.7,-140.42,105.18,159.76,129.46,105.18
-0.48,0.16,-0.88,0.1,-5.9,1.49,158.57,146.43,481.71,-141.02,105.33,159.74,129.21,105.33
-0.48,0.17,-0.88,-0.02,-3.69,0.16,157.49,146.09,481.71,-141.4,105.35,159.7,129.18,105.35
-0.49,0.16,-0.87,-0.07,-5,0.57,157.79,145.62,481.7,-141.91,105.4,159.65,129.01,105.4
-0.48,0.16,-0.87,-0.86,-4.42,0.14,158.26,146.32,481.62,-142.35,105.42,159.54,128.92,105.42
-0.47,0.15,-0.87,0.6,-3.24,1.5,159.12,146.79,481.68,-142.69,105.57,159.59,128.95,105.57
-0.46,0.15,-0.88,0.41,-3.84,0.92,160.53,147.83,481.72,-143.07,105.67,159.65,128.95,105.67
-0.47,0.15,-0.88,-0.28,-3.63,-1.55,159.94,147.11,481.69,-143.44,105.51,159.63,128.95,105.51
-0.47,0.16,-0.86,0.7,-3.55,-2.01,157.91,146.07,481.76,-143.8,105.3,159.66,128.94,105.3
-0.46,0.15,-0.89,0.73,-4.86,-2.16,160.58,147.9,481.83,-144.29,105.08,159.75,128.84,105.08
-0.48,0.16,-0.89,1.02,-3.63,-1.43,158.65,146.49,481.94,-144.66,104.94,159.83,128.83,104.94
-0.48,0.15,-0.87,0.5,-3.29,0.8,159.37,146.54,481.99,-145,105.02,159.87,128.86,105.02
-0.47,0.15,-0.87,0.82,-5.26,-3.79,159.11,146.73,482.07,-145.53,104.63,159.94,128.69,104.63
-0.47,0.16,-0.86,-1.35,-4.27,1.06,158.01,146.24,481.94,-145.96,104.74,159.77,128.62,104.74
-0.48,0.15,-0.87,-0.59,-2.92,0.88,158.32,145.95,481.88,-146.26,104.83,159.68,128.67,104.83
-0.46,0.15,-0.86,-0.42,-3.23,-1.02,159.5,147.05,481.83,-146.59,104.73,159.63,128.72,104.73
-0.46,0.15,-0.86,-0.42,-3.23,-1.02,159.5,147.05,481.83,-146.59,104.73,159.63,128.72,104.73
-0.49,0.15,-0.86,-1.11,0.15,-1.67,157.64,145.42,481.72,-146.58,104.55,159.48,129.07,104.55
-0.5,0.16,-0.89,2.37,-1.35,-3.87,158.11,145.73,481.96,-146.71,104.16,159.69,129.26,104.16
-0.48,0.15,-0.86,1.64,-2.76,-2.7,158.69,146.26,482.13,-147,103.88,159.84,129.33,103.88
-0.49,0.16,-0.88,-0.8,-5.73,0.34,157.93,145.66,482.05,-147.58,103.92,159.72,129.09,103.92
-0.48,0.16,-0.88,3.11,-0.54,-1.02,158.05,145.99,482.37,-147.63,103.81,160,129.37,103.81
-0.48,0.15,-0.88,0.76,-2.39,-0.41,159.94,146.91,482.44,-147.87,103.77,160.07,129.48,103.77
-0.49,0.15,-0.88,0.08,-1.06,0.1,158.69,146.21,482.45,-147.98,103.78,160.05,129.71,103.78
-0.47,0.15,-0.86,0.13,-3.75,-1.25,158.94,146.55,482.46,-148.36,103.66,160.04,129.68,103.66
-0.48,0.16,-0.86,-0.3,-3.12,0.13,157.78,145.99,482.43,-148.67,103.67,159.97,129.7,103.67
-0.49,0.16,-0.87,1.05,-3.37,-1.29,158.01,145.82,482.54,-149.02,103.54,160.03,129.68,103.54
-0.48,0.16,-0.88,0.99,-2.59,-2.96,158.36,146.32,482.64,-149.28,103.24,160.1,129.76,103.24
-0.47,0.15,-0.88,-0.4,-4.47,0.39,159.3,146.75,482.6,-149.73,103.28,160.04,129.66,103.28
-0.47,0.16,-0.88,1.86,-2.02,-1.43,158.84,146.8,482.79,-149.94,103.13,160.2,129.8,103.13
-0.48,0.16,-0.87,-0.5,-3.47,0.31,157.9,145.89,482.74,-150.29,103.17,160.11,129.77,103.17
-0.49,0.15,-0.88,0.36,-2.88,-1.58,158.87,146.16,482.78,-150.58,103,160.12,129.81,103
-0.49,0.15,-0.87,-0.17,-4.97,0.39,157.78,145.53,482.76,-151.09,103.04,160.06,129.63,103.04
-0.48,0.16,-0.88,-0.28,-2.66,2.14,158.51,146.29,482.73,-151.36,103.26,160,129.7,103.26
-0.48,0.15,-0.87,0.92,-4.62,0.59,158.41,146.03,482.82,-151.84,103.32,160.06,129.56,103.32
-0.49,0.16,-0.88,0.44,-6.19,0.56,158.15,145.94,482.87,-152.45,103.38,160.06,129.28,103.38
-0.47,0.14,-0.87,-0.31,-5.2,0.3,160.18,146.97,482.84,-152.98,103.41,160.03,129.12,103.41
-0.46,0.15,-0.87,-1.15,-5.9,-0.12,160.24,147.38,482.72,-153.58,103.39,159.92,128.89,103.39
-0.47,0.15,-0.88,-0.69,-2.57,3.46,160.55,147.54,482.65,-153.85,103.75,159.87,129.01,103.75
-0.47,0.16,-0.86,-3.32,-2.16,5.27,158.02,146.16,482.31,-154.07,104.29,159.5,129.14,104.29
-0.48,0.15,-0.87,-0.05,-4.89,-2.7,159.33,146.4,482.3,-154.57,104.01,159.49,128.99,104.01
-0.47,0.15,-0.87,1.02,-3.52,-3.32,159.18,146.75,482.41,-154.92,103.68,159.58,129,103.68
-0.48,0.15,-0.88,0.56,-5.67,-0.71,159.48,146.64,482.46,-155.5,103.6,159.64,128.78,103.6
-0.48,0.16,-0.88,-0.02,-5.67,-0.36,158.76,146.44,482.46,-156.08,103.57,159.62,128.57,103.57
-0.48,0.16,-0.86,1.02,-4.34,-0.48,157.43,145.68,482.52,-156.93,103.45,159.6,128.43,103.45
-0.49,0.15,-0.87,-0.89,-5.73,-0.6,158.66,146.12,482.43,-157.51,103.39,159.5,128.22,103.39
-0.48,0.16,-0.87,-0.53,-5.37,2.86,157.53,145.85,482.37,-158.06,103.69,159.4,128.02,103.69
-0.47,0.15,-0.88,0.27,-3.78,-1,159.47,147.1,482.4,-158.45,103.59,159.43,128.03,103.59
-0.48,0.16,-0.88,0.04,-2.47,-1.47,158,146.11,482.4,-158.7,103.44,159.41,128.14,103.44
-0.47,0.15,-0.87,0.04,-5.09,-0.05,159.29,146.77,482.41,-159.21,103.43,159.41,128.01,103.43
-0.47,0.16,-0.88,-0.34,-4.28,-0.24,158.45,146.5,482.37,-159.65,103.41,159.35,127.95,103.41
-0.49,0.16,-0.88,0.48,-1.99,-1.35,157.7,145.7,482.42,-159.86,103.27,159.37,128.11,103.27
-0.48,0.15,-0.87,0.6,-4.01,-0.1,159.57,146.54,482.48,-160.26,103.26,159.43,128.08,103.26
-0.5,0.16,-0.87,0.16,-2.8,-0.99,156.86,145.09,482.5,-160.55,103.16,159.4,128.14,103.16
-0.48,0.17,-0.88,-1.79,-6.74,2.86,157.68,146.28,482.32,-161.24,103.45,159.18,127.82,103.45
-0.48,0.15,-0.87,-1.47,-4.24,1.72,159.08,146.23,482.17,-161.67,103.62,159.04,127.77,103.62
-0.48,0.16,-0.86,-0.48,-4.19,0.01,157.27,145.76,482.12,-162.09,103.62,158.95,127.71,103.62
-0.47,0.16,-0.86,0.48,-1.87,-1.06,157.61,146.06,482.17,-162.28,103.52,158.97,127.9,103.52
-0.5,0.17,-0.88,0.7,-2.94,-0.45,156.59,145.2,482.24,-162.58,103.47,159,127.95,103.47
-0.48,0.17,-0.86,-2.3,-6.01,1.41,155.84,145.09,482,-163.2,103.62,158.7,127.69,103.62
-0.47,0.16,-0.87,-0.5,-4.43,-1.05,157.78,146.2,481.95,-163.64,103.51,158.63,127.62,103.51
-0.47,0.15,-0.87,0.21,-7.21,-2.42,158.57,146.44,481.97,-164.39,103.26,158.65,127.26,103.26
-0.48,0.15,-0.88,-0.21,-4.71,-0.08,159.18,146.64,481.95,-164.87,103.25,158.64,127.18,103.25
-0.48,0.15,-0.87,0.73,-1.55,-0.94,158.19,145.92,482.03,-165.03,103.15,158.71,127.4,103.15
-0.47,0.15,-0.86,-0.01,-3.01,-1.52,158.41,146.2,482.03,-165.34,103,158.7,127.47,103
-0.47,0.16,-0.86,0.33,-3.09,-1.57,158.17,146.34,482.06,-165.66,102.84,158.72,127.54,102.84
-0.48,0.16,-0.86,0.25,-3.85,-1.64,157.35,145.57,482.09,-166.05,102.67,158.72,127.52,102.67
-0.49,0.16,-0.87,-0.14,-3.6,0.33,156.72,145.22,482.07,-166.42,102.7,158.67,127.51,102.7
-0.48,0.16,-0.87,-0.4,-5.14,-0.6,157.97,145.9,482.03,-166.93,102.64,158.61,127.37,102.64
-0.49,0.16,-0.88,0.65,-4.13,-2.79,157.59,145.6,482.33,-169.98,102.26,158.76,126.61,102.26
-0.47,0.16,-0.87,0.65,-4.24,-1.23,157.88,146.24,482.39,-170.41,102.13,158.81,126.58,102.13
-0.48,0.15,-0.87,1.66,-1.89,-2.07,158.79,146.34,482.56,-170.6,101.92,158.98,126.78,101.92
-0.49,0.16,-0.87,1.02,-3.18,-1.84,157.43,145.42,482.67,-170.92,101.74,159.05,126.84,101.74
-0.47,0.15,-0.86,-0.51,-2.69,-1.08,158.77,146.31,482.61,-171.2,101.63,158.99,126.96,101.63
-0.48,0.15,-0.87,1.84,-2.69,-5.47,158.97,146.33,482.8,-171.48,101.06,159.18,127.08,101.06
-0.49,0.16,-0.87,1.23,-5,-3.84,157.49,145.42,482.93,-171.99,100.67,159.27,126.94,100.67
-0.49,0.15,-0.87,0.13,-3.95,-1.09,158.14,145.81,482.94,-172.39,100.56,159.26,126.93,100.56
-0.48,0.16,-0.86,-0.72,-4.92,-0.22,157.56,145.59,482.87,-172.89,100.54,159.15,126.81,100.54
-0.49,0.16,-0.88,1,-3.09,-1.06,157.68,145.69,482.97,-173.21,100.43,159.22,126.88,100.43
-0.5,0.16,-0.87,0.91,-2.92,-0.25,156.43,144.89,483.06,-173.51,100.4,159.26,126.95,100.4
-0.49,0.15,-0.87,1.21,-1.79,-0.71,158.45,145.82,483.19,-173.69,100.33,159.36,127.15,100.33
-0.48,0.16,-0.88,0.62,-3.15,-0.89,158.3,146.06,483.25,-174,100.24,159.4,127.21,100.24
-0.49,0.15,-0.87,-1.76,-4.71,-0.05,158.14,145.76,483.07,-174.49,100.23,159.2,127.11,100.23
-0.49,0.16,-0.86,0.44,-2.04,-1.29,157.17,145.07,483.11,-174.69,100.1,159.2,127.27,100.1
-0.5,0.16,-0.86,1.35,-0.62,-1.81,156.82,144.93,483.25,-174.76,99.92,159.29,127.56,99.92
-0.48,0.15,-0.86,0.24,-1.34,-1.37,157.62,145.6,483.28,-174.89,99.78,159.28,127.79,99.78
-0.48,0.15,-0.86,-0.04,-2.31,0.71,159.07,146.31,483.27,-175.12,99.85,159.27,127.93,99.85
-0.51,0.16,-0.87,-2.16,-7.49,-2.5,156.07,144.37,483.06,-175.87,99.6,159,127.53,99.6
-0.5,0.15,-0.86,0.28,-3.38,0.75,156.54,144.37,483.08,-176.21,99.68,158.98,127.53,99.68
-0.49,0.14,-0.86,-0.68,-17.52,-4.53,158.66,145.57,483.02,-177.93,99.23,158.9,126.21,99.23
-0.62,0.06,-0.8,7.83,-83.15,-111.75,161.17,139.96,483.82,-186.49,87.72,159.74,118.09,87.72
-0.49,0.09,-0.36,477.66,94.31,-455,36.87,119.17,532.54,-176.87,41.31,205.03,127.54,41.31
-2,-0.42,-2,208.3,498.7,500.75,-90,128.29,554.21,-125.01,93.39,220.36,178.38,93.39
